date,Agric,Food,Soda,Beer,Smoke,Toys,Fun,Books,Hshld,Clths,Hlth,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach,ElcEq,Autos,Aero,Ships,Guns,Gold,Mines,Coal,Oil,Util,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin,Other
20200102,-0.025099999999999997,-0.0144,-0.0058,-0.0063,-0.0048,0.0046,0.0166,0.0063,-0.0095,0.0063,-0.004,0.0042,0.0013,-0.012,-0.0032,-0.006500000000000001,0.0076,-0.0013,-0.01,0.0083,0.0138,0.010700000000000001,0.016399999999999998,0.0216,0.0256,0.025699999999999997,-0.0058,-0.0021,0.0349,0.009300000000000001,-0.013000000000000001,0.0043,0.0051,0.0096,0.0176,0.018600000000000002,0.021,0.0101,0.006,-0.0073,0.012199999999999999,0.0028000000000000004,0.0096,0.0126,0.0091,0.0021,0.0015,0.0118,0.0141
20200103,-0.01,0.0040999999999999995,-0.0055000000000000005,-0.0001,0.002,-0.0007000000000000001,-0.0102,-0.0016,-0.0058,-0.0029,0.0002,-0.0060999999999999995,-0.009300000000000001,-0.0172,-0.0052,-0.0181,-0.0079,0.0063,-0.0103,-0.0059,-0.0086,-0.006999999999999999,-0.0072,0.0021,0.005,0.033,-0.009899999999999999,-0.0175,0.0001,-0.003,0.002,-0.004699999999999999,0.002,-0.0058,-0.0138,-0.0063,-0.0097,-0.012,-0.008100000000000001,-0.0025,-0.0068000000000000005,-0.0083,-0.0078000000000000005,-0.0049,-0.011699999999999999,-0.0058,-0.005,-0.0078000000000000005,-0.0067
20200106,-0.0052,-0.0009,-0.0002,0.0045000000000000005,0.0085,0.0169,0.0144,-0.0018,0.0021,0.0007000000000000001,0.0066,0.0104,0.0034000000000000002,-0.0043,-0.0033,-0.0006,0.0019,0.0088,-0.0063,-0.0075,-0.0054,0.0009,-0.0007000000000000001,0.0038,-0.0008,-0.0034000000000000002,0.0043,0.0018,-0.0113,0.0084,0.002,-0.0005,0.008100000000000001,0.0059,0.0024,0.011399999999999999,0.002,-0.0004,-0.0022,-0.0121,-0.004699999999999999,-0.0011,0.006500000000000001,0.0001,-0.0033,0.0054,-0.0043,0.0019,0.0034999999999999996
20200107,0.0021,-0.0076,-0.0064,-0.016399999999999998,0.0005,-0.0207,-0.0064,-0.0014000000000000002,-0.0070999999999999995,-0.0022,-0.0046,-0.005,-0.0025,-0.0029,-0.009000000000000001,-0.0181,-0.0058,-0.0021,0.0046,0.0074,-0.0009,0.0021,0.0074,0.0033,0.0013,0.0054,0.0008,0.001,-0.012,-0.0019,-0.0019,0.0008,-0.0003,-0.0028000000000000004,0.0005,-0.001,0.0022,0.0064,-0.0039000000000000003,-0.006999999999999999,0.0040999999999999995,-0.0019,-0.0021,-0.0038,-0.0077,-0.0048,-0.0046,0.0017000000000000001,-0.0032
20200108,0.0052,-0.0017000000000000001,0.0019,0.009300000000000001,0.0154,-0.0040999999999999995,0.013600000000000001,0.0008,0.0059,-0.0005,0.0105,0.0063,0.005,0.0034000000000000002,-0.0014000000000000002,-0.0027,0.0084,0.0029,-0.0054,0.005,0.0042,0.0023,0.0131,-0.008199999999999999,-0.0096,-0.0074,-0.0308,0.005,-0.0206,-0.0194,-0.0025,0.0026,0.0055000000000000005,0.0101,0.0037,0.0106,0.0074,0.0026,0.012,0.0044,0.009899999999999999,0.004699999999999999,-0.0026,0.010700000000000001,0.009399999999999999,0.0108,-0.004699999999999999,0.004,-0.0007000000000000001
20200109,0.0013,-0.0005,0.016399999999999998,0.0029,0.005600000000000001,-0.0026,-0.0018,-0.0154,0.0106,-0.0046,-0.0019,0.009300000000000001,0.0058,-0.0002,0.0077,-0.0054,0.0043,-0.0005,-0.0101,0.0034000000000000002,0.0031,-0.0053,-0.0072,0.008199999999999999,0.0066,0.0089,-0.0108,0.001,-0.024700000000000003,0.0064,0.0049,-0.0009,0.0034999999999999996,0.0092,-0.0003,0.0111,0.013500000000000002,0.006,0.005600000000000001,0.014499999999999999,0.0025,0.0029,0.0060999999999999995,0.0086,0.0055000000000000005,0.0027,0.0058,0.0097,0.008199999999999999
20200110,-0.0103,0.0049,0.005,-0.0053,-0.0083,-0.0232,-0.014499999999999999,-0.0038,0.0001,-0.0067,0.006999999999999999,0.002,-0.0005,-0.0070999999999999995,0.0051,-0.0029,-0.003,0.0048,-0.0169,-0.012,-0.0104,-0.005699999999999999,-0.0078000000000000005,-0.015300000000000001,-0.0132,-0.0033,0.0152,0.0051,-0.0104,-0.0075,0.0016,-0.0052,-0.004699999999999999,-0.0027,-0.004,-0.0003,-0.0021,-0.0027,-0.002,-0.0016,-0.0034999999999999996,0.0021,-0.0066,-0.0045000000000000005,-0.0058,-0.0027,-0.0083,-0.0044,-0.0079
20200113,0.0092,0.011899999999999999,0.0102,0.0118,0.0068000000000000005,0.0285,0.0208,0.011699999999999999,0.0077,0.0147,0.011699999999999999,-0.0024,-0.0015,0.0163,0.0138,0.0222,0.0104,0.005,0.011399999999999999,0.0084,0.008,0.0092,0.033,0.0040999999999999995,0.011200000000000002,0.0132,0.0013,0.0158,0.032,0.0,0.0072,0.0025,0.0097,0.0088,0.014499999999999999,0.011200000000000002,0.016399999999999998,0.0044,0.0052,0.017,0.0085,0.0004,0.0018,0.0011,0.0072,-0.0089,0.0063,0.01,0.0132
20200114,0.0007000000000000001,-0.0015,-0.0018,0.005,-0.0008,0.0028000000000000004,0.0044,0.0152,0.0002,0.0046,0.005600000000000001,-0.0046,0.0123,0.0019,0.0019,0.0148,-0.0014000000000000002,0.0113,0.0103,-0.0034000000000000002,0.0002,-0.0076,0.011399999999999999,0.002,-0.0043,-0.0062,0.0104,-0.0159,0.0023,0.0007000000000000001,0.0027,0.0031,-0.0023,-0.0039000000000000003,-0.0024,-0.006,-0.0070999999999999995,0.0001,0.0024,-0.0049,0.0098,0.0063,-0.0024,0.0017000000000000001,-0.0013,-0.0001,-0.002,-0.004699999999999999,-0.0038
20200115,0.0016,-0.0007000000000000001,0.011399999999999999,0.013999999999999999,0.008,-0.0124,-0.0009,0.008,0.0091,-0.0021,-0.0008,-0.0005,0.0083,0.0060999999999999995,0.0101,0.0302,0.006500000000000001,0.0131,-0.0095,0.010700000000000001,-0.0026,-0.0004,-0.014199999999999999,-0.001,0.0023,0.011699999999999999,0.018799999999999997,-0.005600000000000001,-0.024300000000000002,-0.005600000000000001,0.0123,0.0012,0.0043,0.0077,0.0003,0.005,-0.0064,0.002,-0.0019,0.012,0.0026,0.0060999999999999995,-0.0044,0.0067,-0.0068000000000000005,0.0106,0.0106,0.0038,0.0022
