date,MktmRF,SMB,HML,RF
20200102,0.86,-0.85,-0.35,0.006
20200103,-0.67,0.38,0.0,0.006
20200106,0.36,-0.07,-0.5,0.006
20200107,-0.19,-0.02,-0.18,0.006
20200108,0.47,-0.06,-0.64,0.006
20200109,0.65,-0.63,-0.5,0.006
20200110,-0.34,-0.17,-0.36,0.006
20200113,0.73,-0.08,-0.1,0.006
20200114,-0.06,0.37,-0.12,0.006
20200115,0.16,0.45,-0.79,0.006
20200116,0.88,0.5,-0.11,0.006
20200117,0.28,-0.63,-0.12,0.006
20200121,-0.32,-0.5,-0.63,0.006
20200122,0.08,-0.28,0.01,0.006
20200123,0.08,-0.05,-0.16,0.006
20200124,-0.97,-0.41,-0.34,0.006
20200127,-1.56,0.38,-0.48,0.006
20200128,1.02,-0.14,-0.42,0.006
20200129,-0.1,-0.25,-0.95,0.006
20200130,0.34,-0.7,0.67,0.006
20200131,-1.74,-0.43,-0.34,0.006
20200203,0.84,0.62,-0.71,0.006
20200204,1.57,-0.03,-0.67,0.006
20200205,0.97,0.29,1.53,0.006
20200206,0.27,-0.46,-0.85,0.006
20200207,-0.55,-0.77,-0.09,0.006
20200210,0.73,-0.02,-0.89,0.006
20200211,0.28,0.04,1.11,0.006
20200212,0.66,0.16,-0.32,0.006
20200213,-0.09,0.17,-0.05,0.006
20200214,0.15,-0.38,-0.71,0.006
20200218,-0.19,0.14,-0.67,0.006
20200219,0.6,0.22,-0.06,0.006
20200220,-0.35,0.48,0.64,0.006
20200221,-1.12,-0.09,0.04,0.006
20200224,-3.38,0.19,-0.04,0.006
20200225,-3.09,-0.1,-0.72,0.006
20200226,-0.52,-0.41,-1.26,0.006
20200227,-4.22,0.73,0.14,0.006
20200228,-0.78,0.27,-0.78,0.006
20200302,4.31,-1.76,-0.44,0.006
20200303,-2.79,0.78,-0.62,0.006
20200304,4.02,-1.05,-1.08,0.006
20200305,-3.38,0.16,-1.3,0.006
20200306,-1.78,0.02,-1.35,0.006
20200309,-7.79,-0.47,-4.7,0.006
20200310,4.74,-2.45,0.74,0.006
20200311,-5.05,-0.85,-0.89,0.006
20200312,-9.63,-0.51,-1.3,0.006
20200313,8.96,-2.73,3.07,0.006
20200316,-12.0,-0.38,-0.79,0.006
20200317,5.87,0.73,-1.02,0.006
20200318,-5.56,-3.62,-4.72,0.006
20200319,1.31,5.6,0.89,0.006
20200320,-4.15,0.43,-0.98,0.006
20200323,-2.56,2.1,-3.38,0.006
20200324,9.34,-1.17,2.46,0.006
20200325,1.18,-0.63,1.94,0.006
20200326,6.02,-0.61,1.13,0.006
20200327,-3.47,-0.8,-0.72,0.006
20200330,3.16,-0.4,-2.18,0.006
20200331,-1.44,1.79,-0.42,0.006
20200401,-4.51,-1.6,-1.43,0.0
20200402,2.09,-0.98,-0.29,0.0
20200403,-1.64,-1.14,-1.12,0.0
20200406,7.06,0.79,0.22,0.0
20200407,-0.11,-0.53,2.23,0.0
20200408,3.4,0.37,1.3,0.0
20200409,1.6,1.98,3.14,0.0
20200413,-0.92,-0.77,-2.41,0.0
20200414,3.02,-0.13,-3.13,0.0
20200415,-2.15,-1.21,-2.46,0.0
20200416,0.62,-0.25,-2.98,0.0
20200417,2.72,0.78,2.57,0.0
20200420,-1.56,0.82,-1.02,0.0
20200421,-3.08,0.98,0.03,0.0
20200422,2.31,-0.73,-1.6,0.0
20200423,0.13,1.16,0.58,0.0
20200424,1.44,0.32,-0.09,0.0
20200427,1.73,1.65,2.74,0.0
20200428,-0.45,0.87,2.89,0.0
20200429,2.92,1.87,2.04,0.0
20200430,-1.18,-1.42,-1.63,0.0
20200501,-2.91,-0.57,-1.01,0.0
20200504,0.53,0.16,-1.4,0.0
20200505,0.95,0.07,-1.95,0.0
20200506,-0.52,0.55,-2.74,0.0
20200507,1.33,-0.04,0.41,0.0
20200508,1.9,1.44,2.48,0.0
20200511,0.07,0.44,-3.69,0.0
20200512,-2.06,-0.87,-1.36,0.0
20200513,-1.89,-0.96,-2.18,0.0
20200514,1.14,-1.49,0.97,0.0
20200515,0.57,1.59,-1.23,0.0
20200518,3.24,1.54,4.59,0.0
20200519,-1.01,-0.57,-1.39,0.0
20200520,1.8,1.1,1.25,0.0
20200521,-0.7,0.65,0.46,0.0
20200522,0.27,0.49,-0.88,0.0
20200526,1.23,0.07,4.63,0.0
20200527,1.54,0.64,3.6,0.0
20200528,-0.41,-1.46,-2.44,0.0
20200529,0.6,-0.3,-1.97,0.0
20200601,0.52,-0.01,0.49,0.0
20200602,0.81,-0.06,0.5,0.0
20200603,1.41,0.13,2.64,0.0
20200604,-0.34,-0.23,3.01,0.0
20200605,2.5,0.76,2.7,0.0
20200608,1.39,0.38,2.18,0.0
20200609,-0.85,-0.32,-1.96,0.0
20200610,-0.57,-0.86,-4.15,0.0
20200611,-5.91,-0.87,-3.04,0.0
20200612,1.29,0.36,1.96,0.0
20200615,1.09,1.43,-0.42,0.0
20200616,1.86,0.63,0.45,0.0
20200617,-0.4,-0.92,-1.98,0.0
20200618,0.19,0.09,-0.53,0.0
20200619,-0.45,0.05,-0.61,0.0
20200622,0.71,0.83,-1.42,0.0
20200623,0.42,0.15,-0.56,0.0
20200624,-2.61,-0.52,-1.28,0.0
20200625,1.12,0.25,0.5,0.0
20200626,-2.43,0.16,-1.37,0.0
20200629,1.51,1.25,1.8,0.0
20200630,1.58,0.04,-0.02,0.0
